Company Name,Number of Medicines
ZYDUS CADILA HEALTHCARE LTD,5324
CIPLA LIMITED,4428
INTAS PHARMACEUTICALS LTD,3245
ZEE LABORATORIES LTD,3144
ABBOTT HEALTHCARE PVT LTD,2904
ALKEM LABORATORIES LTD,2833
RANBAXY LABORATORIES (SUN PHARMA),2643
LUPIN,2495
MICRO LABS,2386
MANKIND PHARMACEUTICALS LTD,1917
SUN PHARMA,1903
TORRENT PHARMACEUTICALS LTD,1709
EMCURE PHARMACEUTICALS LTD,1649
GLENMARK PHARMACEUTICALS,1616
DR REDDY'S LABORATORIES LTD,1568
MACLEODS PHARMACEUTICALS,1546
ALEMBIC PHARMACEUTICALS,1416
HINDUSTAN UNILEVER LIMITED,1355
WOCKHARDT LIMITED,1353
ELDER PHARMACEUTICALS LTD,1255
LEEFORD HEALTHCARE LTD,1212
SYMBIOSIS LIFE SCIENCES LTD,1190
IPCA LABORATORIES,1136
INVISION MEDI SCIENCES PVT LTD,1132
THE HIMALAYA DRUG COMPANY,1102
AJANTA PHARMA LTD,1010
SHREYA LIFE SCIENCES PVT LTD,1005
UNICHEM LABORATORIES LTD,998
ARISTO PHARMACEUTICALS PVT LTD,944
EAST WEST PHARMA,940
GLAXOSMITHKLINE,934
DABUR INDIA LIMITED,879
IND SWIFT LABORATORIES LTD,867
NOVARTIS INDIA LTD,854
OLCARE LABORATORIES,821
JOHNSON & JOHNSON,800
AGRON REMEDIES,797
PFIZER LTD,790
RECKITT BENCKISER,741
INDOCO REMEDIES LTD,733
INTRA LIFE PVT LTD,728
FDC LIMITED,713
MEDLEY PHARMACEUTICAL PVT LTD,697
PSYCHOTROPICS INDIA LTD,697
BIOCHEM PHARMACEUTICAL INDUSTRIES,692
INTRA LABS LTD,688
USV PVT LTD,661
HETERO HEALTHCARE LIMITED,660
WONDER HEALTHCARE PVT LTD,659
PROCTER & GAMBLE,658
SBL PVT LTD,657
LINCOLN PHARMACEUTICALS LTD,655
WANBURY LTD,649
CORONA REMEDIES PVT LTD,649
SANOFI,632
SHRINIVAS GUJARAT LABORATORIES PVT LTD,632
ZUVENTUS HEALTH CARE LTD,620
VISSCO,611
ERIS LIFE SCIENCES PVT LTD,609
MANEESH PHARMACEUTICALS LTD,605
KNOLL HEALTHCARE PVT LTD,598
INCEPTA PHARMACEUTICALS LTD,596
UNITED BIOTECH (P) LTD,594
WALLACE PHARMACEUTICALS,590
IKON REMEDIES PVT LTD,588
TORQUE PHARMACEUTICALS PVT LTD,578
BAIDYANATH AYURVEDA BHAVAN LTD,576
BMW PHARMACO INDIA PVT LTD,573
TROIKAA PHARMACEUTICALS LTD,572
AKUMENTIS HEALTHCARE LTD,571
SUTURES INDIA,566
MOREPEN LABORATORIES,565
INNOVATIVE PHARMACEUTICALS,558
PSYCORMEDIES,556
THEMIS MEDICARE LTD,547
ALPIC BIOTECH LTD,547
VHB LIFE SCIENCES LIMITED,545
BLUE CROSS LABORATORIES PRIVATE LIMITED,545
COLGATE PALMOLIVE INDIA LTD,521
BLUBELL PHARMA,521
NEON LABORATORIES,519
GALPHA LABORATORIES LTD,510
J B CHEMICALS AND PHARMACEUTICALS,498
RELIANCE FORMULATION PVT LTD,496
HEALTH AID LTD,494
LANARK LABOROTORIES,494
AAPSON ORTHOTICS PRIVATE LIMITED,488
TALENT HEALTH CARE,488
PATANJALI AYURVED LTD,486
ALNA BIOTECH,485
PODOLITE HEALTHCARE FOOT WEAR,456
TAS MED INDIA PVT LTD,455
PANACEA BIOTEC LTD,455
RPG LIFE SCIENCES LTD,452
CONCEPT PHARMACEUTICALS LTD,446
MAGMA ALLIANZ LABORATORIES LTD,441
SALUD CARE INDIA PVT LTD,439
VERITAZ HEALTHCARE LTD,437
BRITISH BIOLOGICALS,433
TYNOR ORTHOTICS LTD,429
COMED CHEMICALS PVT LTD,429
WEST-COAST PHARMACEUTICAL WORKS LTD,427
GENTECH HEALTHCARE LTD,422
RKG PHARMA PVT LTD,422
LA RENON HEALTHCARE PVT LTD,420
LABORATE PHARMACEUTICALS INDIA LTD,419
STRIDES SHASUN LIMITED,418
A.MENARINI INDIA,417
FOURRTS INDIA LABORATORIES PVT LTD,415
SWISS PHARMA PVT LTD,407
HAUZ PHARMA PVT LTD,403
SYSTOPIC LABORATORIES,401
CIAN HEALTHCARE,400
CENTAUR PHARMACEUTICALS PVT LTD,395
APEX LABORATORIES PRIVATE LIMITED,390
ORCHID CHEMICALS & PHARMACEUTICALS LTD,390
SANIFY HEALTHCARE,382
POSITIF LIFESCIENCES,381
TEXAS PHARMACEUTICALS PVT LTD,381
SAMARTH LIFE SCIENCES PVT LTD,376
PHARMED PRIVATE LIMITED,375
CIPLA GX,375
MEYER ORGANICS PVT LTD,371
MERCK LIMITED,370
ABBOTT INDIA LTD,370
D.R. JOHNS LAB PHARMA,370
SOLITAIRE PHARMACIA PVT LTD,368
WIN-MEDICARE PVT LTD,365
GLOBUS REMEDIES,361
KIVI LABS LIMITED,355
ROMSONS PHARMACEUTICAL,353
INDIABULLS PHARMACEUTICALS LTD,352
ORGANIC LABORATORIES,351
BIOMAX BIOTECHNICS PVT LTD,345
OAKNET HEALTHCARE PVT LTD,343
BRINTON PHARMACEUTICALS LIMITED,342
CAPTAB BIOTECH,338
BIOPHAR LIFESCIENCES PVT LTD,336
BESTOCHEM FORMULATIONS INDIA LTD,328
ZENON HEALTHCARE LTD,328
MED MANOR ORGANICS PVT LTD,326
FLAMINGO PHARMACEUTICALS,325
ACINOM HEALTHCARE PVT LTD,323
MINOVA LIFE SCIENCES PVT LTD,320
JAGSONPAL PHARMACEUTICALS LTD,319
XIEON LIFESCIENCES PVT LTD,317
ARONEX LIFE SCIENCES PVT LTD,317
CANIDRIN PHARMA PVT LTD,314
BIOCON LTD,312
INTAS PHARMACEUTICALS LTD GX,311
PAX HEALTHCARE PVT LTD,311
RISHAB HEALTHCARE LTD,310
CUBIT HEALTHCARE,302
CMG BIOTECH,302
KHANDELWAL LABORATORIES LTD,301
ORDAIN HEALTH CARE GLOBAL PRIVATE LIMITED,299
GENESIS BIOTECH,297
CLARIS LIFESCIENCES LIMITED,295
SHINE PHARMACEUTICALS LTD,295
TTK HEALTHCARE LTD,294
GENIX,294
ALLENGE INDIA PHARMACEUTICALS PVT LTD,294
RAPTAKOS BRETT & CO LTD,293
ASTRAZENECA PHARMA INDIA LTD,290
KOYE PHARMACEUTICALS PVT LTD,289
EMBIOTIC LABORATORIES (P) LTD,287
SCOTT EDIL PHARMACIA LTD,283
GUFIC BIOSCIENCES LTD,282
D D PHARMACEUTICALS,279
TAURUS LABORATORIES PVT LTD,278
AFIVE PHARMACEUTICALS,278
FINECURE PHARMACEUTICALS,275
CACHET PHARMACEUTICALS PVT LTD,273
